submitted_at,event_title,event_date,event_time,event_location,event_details
2026-06-24T13:28:47+02:00,"Get together",2026-07-01,15:00,Auditorium,Nothing
2026-06-26T11:59:31+02:00,"ASAII Presents THREE KINGDOMS, The Kingdom of Lesotho, The Kingdom of Eswatini and The Azande Kingdom",2026-07-01,15:00,"Zoology Auditorium, Gujarat University","Theme: Bringing Cultures, Building Friendships, Celebrating Heritage and Unity"
